,PWSName,FIPS_5,CNTY_OR_CITY,POPULATION,ANALYTE_NAME,Concentration in µg/L,COLLECT_DT
8746,NOTTOWAY ACRES SUBDIVISION,51025,BRUNSWICK,58,LEAD,0.7,2014-06-19
9438,THE WATERS EDGE,51067,FRANKLIN COUNTY,949,LEAD,3.4,2014-06-19
9802,LONG BRANCH SHORES,51117,MECKLENBURG,85,LEAD,19.2,2014-06-19
9803,LONG BRANCH SHORES,51117,MECKLENBURG,85,LEAD,4.0,2014-06-19
9804,LONG BRANCH SHORES,51117,MECKLENBURG,85,LEAD,0.8,2014-06-19
8748,NOTTOWAY ACRES SUBDIVISION,51025,BRUNSWICK,58,LEAD,5.9,2014-06-19
8747,NOTTOWAY ACRES SUBDIVISION,51025,BRUNSWICK,58,LEAD,1.5,2014-06-19
9915,TIMBUCTU SUBDIVISION,51117,MECKLENBURG,132,LEAD,2.0,2014-06-19
9916,TIMBUCTU SUBDIVISION,51117,MECKLENBURG,132,LEAD,5.5,2014-06-19
8745,NOTTOWAY ACRES SUBDIVISION,51025,BRUNSWICK,58,LEAD,4.0,2014-06-19
8744,NOTTOWAY ACRES SUBDIVISION,51025,BRUNSWICK,58,LEAD,1.1,2014-06-19
9351,ROYAL ESTATES,51067,FRANKLIN COUNTY,55,LEAD,1.5,2014-06-19
4007,"BUENA VISTA, CITY OF",51530,BUENA VISTA CITY,6650,LEAD,0.0,2014-06-19
4010,"BUENA VISTA, CITY OF",51530,BUENA VISTA CITY,6650,LEAD,2.42,2014-06-19
4009,"BUENA VISTA, CITY OF",51530,BUENA VISTA CITY,6650,LEAD,0.0,2014-06-19
4004,"BUENA VISTA, CITY OF",51530,BUENA VISTA CITY,6650,LEAD,0.0,2014-06-19
4005,"BUENA VISTA, CITY OF",51530,BUENA VISTA CITY,6650,LEAD,56.0,2014-06-19
4006,"BUENA VISTA, CITY OF",51530,BUENA VISTA CITY,6650,LEAD,3.35,2014-06-19
4008,"BUENA VISTA, CITY OF",51530,BUENA VISTA CITY,6650,LEAD,0.0,2014-06-19
10774,CLEVENGERS VILLAGE,51047,CULPEPER,855,LEAD,0.0,2014-06-20
9436,THE WATERS EDGE,51067,FRANKLIN COUNTY,949,LEAD,0.4,2014-06-20
4003,"BUENA VISTA, CITY OF",51530,BUENA VISTA CITY,6650,LEAD,0.0,2014-06-20
4002,"BUENA VISTA, CITY OF",51530,BUENA VISTA CITY,6650,LEAD,0.0,2014-06-20
10773,CLEVENGERS VILLAGE,51047,CULPEPER,855,LEAD,0.0,2014-06-20
11233,FAIRFAX COUNTY WATER AUTHORITY,51059,FAIRFAX COUNTY,1074422,LEAD,0.0,2014-06-20
7814,GLEBE POINT,51133,NORTHUMBERLAND,111,LEAD,0.5,2014-06-20
4001,"BUENA VISTA, CITY OF",51530,BUENA VISTA CITY,6650,LEAD,0.0,2014-06-20
7259,"WEST POINT, TOWN OF",51101,KING WILLIAM,3000,LEAD,0.0,2014-06-20
9437,THE WATERS EDGE,51067,FRANKLIN COUNTY,949,LEAD,4.5,2014-06-20
9435,THE WATERS EDGE,51067,FRANKLIN COUNTY,949,LEAD,3.8,2014-06-21
7258,"WEST POINT, TOWN OF",51101,KING WILLIAM,3000,LEAD,0.0,2014-06-21
7257,"WEST POINT, TOWN OF",51101,KING WILLIAM,3000,LEAD,0.0,2014-06-21
10772,CLEVENGERS VILLAGE,51047,CULPEPER,855,LEAD,0.0,2014-06-21
7255,"WEST POINT, TOWN OF",51101,KING WILLIAM,3000,LEAD,0.0,2014-06-23
7256,"WEST POINT, TOWN OF",51101,KING WILLIAM,3000,LEAD,0.0,2014-06-23
7251,"WEST POINT, TOWN OF",51101,KING WILLIAM,3000,LEAD,0.0,2014-06-23
7253,"WEST POINT, TOWN OF",51101,KING WILLIAM,3000,LEAD,0.0,2014-06-23
7252,"WEST POINT, TOWN OF",51101,KING WILLIAM,3000,LEAD,0.0,2014-06-23
8215,HORNERS BEACH,51193,WESTMORELAND,95,LEAD,0.0,2014-06-23
7250,"WEST POINT, TOWN OF",51101,KING WILLIAM,3000,LEAD,2.0,2014-06-23
7113,STRAWHORN SUBDIVISION,51085,HANOVER,150,LEAD,2.0,2014-06-23
3261,EGYPT BEND ESTATES,51139,PAGE,250,LEAD,3.28,2014-06-23
7000,DIANNE RIDGE,51085,HANOVER,59,LEAD,2.0,2014-06-23
3262,EGYPT BEND ESTATES,51139,PAGE,250,LEAD,25.4,2014-06-23
3263,EGYPT BEND ESTATES,51139,PAGE,250,LEAD,0.0,2014-06-23
3264,EGYPT BEND ESTATES,51139,PAGE,250,LEAD,0.0,2014-06-23
4000,"BUENA VISTA, CITY OF",51530,BUENA VISTA CITY,6650,LEAD,4.0,2014-06-23
7254,"WEST POINT, TOWN OF",51101,KING WILLIAM,3000,LEAD,0.0,2014-06-23
8216,HORNERS BEACH,51193,WESTMORELAND,95,LEAD,3.7,2014-06-23
3260,EGYPT BEND ESTATES,51139,PAGE,250,LEAD,3.0,2014-06-23
8218,HORNERS BEACH,51193,WESTMORELAND,95,LEAD,2.4,2014-06-23
10770,CLEVENGERS VILLAGE,51047,CULPEPER,855,LEAD,0.0,2014-06-23
10771,CLEVENGERS VILLAGE,51047,CULPEPER,855,LEAD,0.0,2014-06-23
12809,PWCSA - EAST,51153,PRINCE WILLIAM,153000,LEAD,0.0,2014-06-23
11231,FAIRFAX COUNTY WATER AUTHORITY,51059,FAIRFAX COUNTY,1074422,LEAD,0.0,2014-06-23
11232,FAIRFAX COUNTY WATER AUTHORITY,51059,FAIRFAX COUNTY,1074422,LEAD,0.0,2014-06-23
9893,TANGLEWOOD SECTION A,51117,MECKLENBURG,35,LEAD,9.3,2014-06-23
8217,HORNERS BEACH,51193,WESTMORELAND,95,LEAD,2.01,2014-06-23
9891,TANGLEWOOD SECTION A,51117,MECKLENBURG,35,LEAD,15.0,2014-06-23
9434,THE WATERS EDGE,51067,FRANKLIN COUNTY,949,LEAD,1.0,2014-06-23
9433,THE WATERS EDGE,51067,FRANKLIN COUNTY,949,LEAD,6.0,2014-06-23
9892,TANGLEWOOD SECTION A,51117,MECKLENBURG,35,LEAD,4.9,2014-06-23
8219,HORNERS BEACH,51193,WESTMORELAND,95,LEAD,0.0,2014-06-23
12804,PWCSA - EAST,51153,PRINCE WILLIAM,153000,LEAD,0.0,2014-06-24
12805,PWCSA - EAST,51153,PRINCE WILLIAM,153000,LEAD,0.0,2014-06-24
12806,PWCSA - EAST,51153,PRINCE WILLIAM,153000,LEAD,0.0,2014-06-24
2971,SESMA UTILITIES,51109,LOUISA,50,LEAD,0.0,2014-06-24
12286,RASPBERRY FALLS SUBDIVISION,51107,LOUDOUN,599,LEAD,0.0,2014-06-24
12807,PWCSA - EAST,51153,PRINCE WILLIAM,153000,LEAD,0.0,2014-06-24
12808,PWCSA - EAST,51153,PRINCE WILLIAM,153000,LEAD,0.0,2014-06-24
11945,BEACON HILL-LCSA,51107,LOUDOUN,329,LEAD,0.0,2014-06-24
2972,SESMA UTILITIES,51109,LOUISA,50,LEAD,0.0,2014-06-24
1005,DULANEY TRAILER PARK,51155,PULASKI,31,LEAD,0.0,2014-06-24
4351,"STAUNTON, CITY OF",51790,STAUNTON,23746,LEAD,1.0,2014-06-24
4352,"STAUNTON, CITY OF",51790,STAUNTON,23746,LEAD,0.8,2014-06-24
4353,"STAUNTON, CITY OF",51790,STAUNTON,23746,LEAD,0.6,2014-06-24
4354,"STAUNTON, CITY OF",51790,STAUNTON,23746,LEAD,54.9,2014-06-24
4355,"STAUNTON, CITY OF",51790,STAUNTON,23746,LEAD,3.5,2014-06-24
4356,"STAUNTON, CITY OF",51790,STAUNTON,23746,LEAD,41.7,2014-06-24
4357,"STAUNTON, CITY OF",51790,STAUNTON,23746,LEAD,8.1,2014-06-24
4358,"STAUNTON, CITY OF",51790,STAUNTON,23746,LEAD,4.3,2014-06-24
11946,BEACON HILL-LCSA,51107,LOUDOUN,329,LEAD,0.0,2014-06-24
12803,PWCSA - EAST,51153,PRINCE WILLIAM,153000,LEAD,0.0,2014-06-24
1004,DULANEY TRAILER PARK,51155,PULASKI,31,LEAD,0.0,2014-06-24
3999,"BUENA VISTA, CITY OF",51530,BUENA VISTA CITY,6650,LEAD,0.0,2014-06-24
12802,PWCSA - EAST,51153,PRINCE WILLIAM,153000,LEAD,0.0,2014-06-24
1003,DULANEY TRAILER PARK,51155,PULASKI,31,LEAD,0.0,2014-06-24
1002,DULANEY TRAILER PARK,51155,PULASKI,31,LEAD,0.0,2014-06-24
12285,RASPBERRY FALLS SUBDIVISION,51107,LOUDOUN,599,LEAD,0.0,2014-06-24
12284,RASPBERRY FALLS SUBDIVISION,51107,LOUDOUN,599,LEAD,0.0,2014-06-24
12283,RASPBERRY FALLS SUBDIVISION,51107,LOUDOUN,599,LEAD,0.0,2014-06-24
12282,RASPBERRY FALLS SUBDIVISION,51107,LOUDOUN,599,LEAD,0.0,2014-06-24
12281,RASPBERRY FALLS SUBDIVISION,51107,LOUDOUN,599,LEAD,0.0,2014-06-24
1830,WISE COUNTY REGIONAL WATER SYSTEM,51195,WISE,11500,LEAD,0.259,2014-06-24
12280,RASPBERRY FALLS SUBDIVISION,51107,LOUDOUN,599,LEAD,0.0,2014-06-24
12279,RASPBERRY FALLS SUBDIVISION,51107,LOUDOUN,599,LEAD,0.0,2014-06-24
12278,RASPBERRY FALLS SUBDIVISION,51107,LOUDOUN,599,LEAD,0.0,2014-06-24
12245,ELYSIAN HEIGHTS,51107,LOUDOUN,1061,LEAD,0.0,2014-06-24
12244,ELYSIAN HEIGHTS,51107,LOUDOUN,1061,LEAD,0.0,2014-06-24
12243,ELYSIAN HEIGHTS,51107,LOUDOUN,1061,LEAD,1.2,2014-06-24
12242,ELYSIAN HEIGHTS,51107,LOUDOUN,1061,LEAD,1.5,2014-06-24
2969,SESMA UTILITIES,51109,LOUISA,50,LEAD,0.0,2014-06-24
2970,SESMA UTILITIES,51109,LOUISA,50,LEAD,3.05,2014-06-24
1001,DULANEY TRAILER PARK,51155,PULASKI,31,LEAD,0.0,2014-06-24
12801,PWCSA - EAST,51153,PRINCE WILLIAM,153000,LEAD,6.18,2014-06-24
3823,"WOODSTOCK, TOWN OF",51171,SHENANDOAH,5070,LEAD,2.14,2014-06-24
4359,"STAUNTON, CITY OF",51790,STAUNTON,23746,LEAD,3.9,2014-06-24
2973,SESMA UTILITIES,51109,LOUISA,50,LEAD,0.0,2014-06-24
4361,"STAUNTON, CITY OF",51790,STAUNTON,23746,LEAD,1.0,2014-06-24
4944,BAYVIEW,51131,NORTHAMPTON,160,LEAD,0.0,2014-06-24
4945,BAYVIEW,51131,NORTHAMPTON,160,LEAD,0.0,2014-06-24
4946,BAYVIEW,51131,NORTHAMPTON,160,LEAD,0.0,2014-06-24
6996,DIANNE RIDGE,51085,HANOVER,59,LEAD,0.0,2014-06-24
7190,WESTMORELAND SUBDIVISION,51097,KING AND QUEEN,90,LEAD,0.0,2014-06-24
7194,WESTMORELAND SUBDIVISION,51097,KING AND QUEEN,90,LEAD,0.0,2014-06-24
6997,DIANNE RIDGE,51085,HANOVER,59,LEAD,2.0,2014-06-24
6998,DIANNE RIDGE,51085,HANOVER,59,LEAD,1.0,2014-06-24
4943,BAYVIEW,51131,NORTHAMPTON,160,LEAD,0.0,2014-06-24
6999,DIANNE RIDGE,51085,HANOVER,59,LEAD,2.0,2014-06-24
7193,WESTMORELAND SUBDIVISION,51097,KING AND QUEEN,90,LEAD,2.64,2014-06-24
7095,SINCLAIR MANOR,51085,HANOVER,140,LEAD,0.0,2014-06-24
7096,SINCLAIR MANOR,51085,HANOVER,140,LEAD,2.0,2014-06-24
7097,SINCLAIR MANOR,51085,HANOVER,140,LEAD,0.0,2014-06-24
7098,SINCLAIR MANOR,51085,HANOVER,140,LEAD,7.0,2014-06-24
7192,WESTMORELAND SUBDIVISION,51097,KING AND QUEEN,90,LEAD,0.0,2014-06-24
7111,STRAWHORN SUBDIVISION,51085,HANOVER,150,LEAD,0.0,2014-06-24
7112,STRAWHORN SUBDIVISION,51085,HANOVER,150,LEAD,3.0,2014-06-24
7094,SINCLAIR MANOR,51085,HANOVER,140,LEAD,0.0,2014-06-24
4378,"STAUNTON, CITY OF",51790,STAUNTON,23746,LEAD,1.8,2014-06-24
7191,WESTMORELAND SUBDIVISION,51097,KING AND QUEEN,90,LEAD,0.0,2014-06-24
4365,"STAUNTON, CITY OF",51790,STAUNTON,23746,LEAD,0.5,2014-06-24
4370,"STAUNTON, CITY OF",51790,STAUNTON,23746,LEAD,1.2,2014-06-24
4369,"STAUNTON, CITY OF",51790,STAUNTON,23746,LEAD,0.4,2014-06-24
4368,"STAUNTON, CITY OF",51790,STAUNTON,23746,LEAD,6.3,2014-06-24
4367,"STAUNTON, CITY OF",51790,STAUNTON,23746,LEAD,7.9,2014-06-24
4366,"STAUNTON, CITY OF",51790,STAUNTON,23746,LEAD,1.9,2014-06-24
4377,"STAUNTON, CITY OF",51790,STAUNTON,23746,LEAD,1.5,2014-06-24
4364,"STAUNTON, CITY OF",51790,STAUNTON,23746,LEAD,1.6,2014-06-24
4360,"STAUNTON, CITY OF",51790,STAUNTON,23746,LEAD,1.8,2014-06-24
4363,"STAUNTON, CITY OF",51790,STAUNTON,23746,LEAD,0.9,2014-06-24
4362,"STAUNTON, CITY OF",51790,STAUNTON,23746,LEAD,22.3,2014-06-24
10769,CLEVENGERS VILLAGE,51047,CULPEPER,855,LEAD,0.0,2014-06-24
4372,"STAUNTON, CITY OF",51790,STAUNTON,23746,LEAD,1.7,2014-06-24
4373,"STAUNTON, CITY OF",51790,STAUNTON,23746,LEAD,0.8,2014-06-24
4374,"STAUNTON, CITY OF",51790,STAUNTON,23746,LEAD,1.7,2014-06-24
4375,"STAUNTON, CITY OF",51790,STAUNTON,23746,LEAD,0.7,2014-06-24
4376,"STAUNTON, CITY OF",51790,STAUNTON,23746,LEAD,2.6,2014-06-24
4371,"STAUNTON, CITY OF",51790,STAUNTON,23746,LEAD,2.8,2014-06-24
9090,LAKESIDE VILLAGE,51049,CUMBERLAND,220,LEAD,3.6,2014-06-25
7813,GLEBE POINT,51133,NORTHUMBERLAND,111,LEAD,0.5,2014-06-25
10002,"BURKEVILLE, TOWN OF",51135,NOTTOWAY,432,LEAD,0.0,2014-06-25
2063,ACSA URBAN AREA,51003,ALBEMARLE,61673,LEAD,0.0,2014-06-25
10768,CLEVENGERS VILLAGE,51047,CULPEPER,855,LEAD,0.0,2014-06-25
10004,"BURKEVILLE, TOWN OF",51135,NOTTOWAY,432,LEAD,0.0,2014-06-25
2062,ACSA URBAN AREA,51003,ALBEMARLE,61673,LEAD,0.0,2014-06-25
1829,WISE COUNTY REGIONAL WATER SYSTEM,51195,WISE,11500,LEAD,0.32899999999999996,2014-06-25
2060,ACSA URBAN AREA,51003,ALBEMARLE,61673,LEAD,0.0,2014-06-25
10001,"BURKEVILLE, TOWN OF",51135,NOTTOWAY,432,LEAD,0.0,2014-06-25
12800,PWCSA - EAST,51153,PRINCE WILLIAM,153000,LEAD,0.0,2014-06-25
12799,PWCSA - EAST,51153,PRINCE WILLIAM,153000,LEAD,0.0,2014-06-25
12798,PWCSA - EAST,51153,PRINCE WILLIAM,153000,LEAD,0.0,2014-06-25
12796,PWCSA - EAST,51153,PRINCE WILLIAM,153000,LEAD,0.0,2014-06-25
12795,PWCSA - EAST,51153,PRINCE WILLIAM,153000,LEAD,0.0,2014-06-25
12794,PWCSA - EAST,51153,PRINCE WILLIAM,153000,LEAD,0.0,2014-06-25
12793,PWCSA - EAST,51153,PRINCE WILLIAM,153000,LEAD,4.75,2014-06-25
10000,"BURKEVILLE, TOWN OF",51135,NOTTOWAY,432,LEAD,0.0,2014-06-25
9092,LAKESIDE VILLAGE,51049,CUMBERLAND,220,LEAD,1.7,2014-06-25
1825,WISE COUNTY REGIONAL WATER SYSTEM,51195,WISE,11500,LEAD,1.25,2014-06-25
1826,WISE COUNTY REGIONAL WATER SYSTEM,51195,WISE,11500,LEAD,0.652,2014-06-25
1827,WISE COUNTY REGIONAL WATER SYSTEM,51195,WISE,11500,LEAD,1.35,2014-06-25
1828,WISE COUNTY REGIONAL WATER SYSTEM,51195,WISE,11500,LEAD,0.3777,2014-06-25
9091,LAKESIDE VILLAGE,51049,CUMBERLAND,220,LEAD,8.5,2014-06-25
2061,ACSA URBAN AREA,51003,ALBEMARLE,61673,LEAD,0.0,2014-06-25
12797,PWCSA - EAST,51153,PRINCE WILLIAM,153000,LEAD,0.0,2014-06-25
10003,"BURKEVILLE, TOWN OF",51135,NOTTOWAY,432,LEAD,0.0,2014-06-25
4942,BAYVIEW,51131,NORTHAMPTON,160,LEAD,0.0,2014-06-25
3807,"WOODSTOCK, TOWN OF",51171,SHENANDOAH,5070,LEAD,0.0,2014-06-25
3808,"WOODSTOCK, TOWN OF",51171,SHENANDOAH,5070,LEAD,0.0,2014-06-25
3809,"WOODSTOCK, TOWN OF",51171,SHENANDOAH,5070,LEAD,0.0,2014-06-25
3810,"WOODSTOCK, TOWN OF",51171,SHENANDOAH,5070,LEAD,6.14,2014-06-25
3811,"WOODSTOCK, TOWN OF",51171,SHENANDOAH,5070,LEAD,0.0,2014-06-25
3818,"WOODSTOCK, TOWN OF",51171,SHENANDOAH,5070,LEAD,0.0,2014-06-25
3812,"WOODSTOCK, TOWN OF",51171,SHENANDOAH,5070,LEAD,0.0,2014-06-25
3817,"WOODSTOCK, TOWN OF",51171,SHENANDOAH,5070,LEAD,5.17,2014-06-25
3822,"WOODSTOCK, TOWN OF",51171,SHENANDOAH,5070,LEAD,0.0,2014-06-25
3813,"WOODSTOCK, TOWN OF",51171,SHENANDOAH,5070,LEAD,0.0,2014-06-25
11943,BEACON HILL-LCSA,51107,LOUDOUN,329,LEAD,0.0,2014-06-25
11944,BEACON HILL-LCSA,51107,LOUDOUN,329,LEAD,0.0,2014-06-25
3816,"WOODSTOCK, TOWN OF",51171,SHENANDOAH,5070,LEAD,0.0,2014-06-25
3815,"WOODSTOCK, TOWN OF",51171,SHENANDOAH,5070,LEAD,2.41,2014-06-25
4350,"STAUNTON, CITY OF",51790,STAUNTON,23746,LEAD,0.8,2014-06-25
4349,"STAUNTON, CITY OF",51790,STAUNTON,23746,LEAD,3.4,2014-06-25
3805,"WOODSTOCK, TOWN OF",51171,SHENANDOAH,5070,LEAD,0.0,2014-06-25
3806,"WOODSTOCK, TOWN OF",51171,SHENANDOAH,5070,LEAD,0.0,2014-06-25
3305,PAGE VALLEY ESTATES,51139,PAGE,126,LEAD,0.0,2014-06-25
3301,PAGE VALLEY ESTATES,51139,PAGE,126,LEAD,0.0,2014-06-25
3821,"WOODSTOCK, TOWN OF",51171,SHENANDOAH,5070,LEAD,0.0,2014-06-25
3819,"WOODSTOCK, TOWN OF",51171,SHENANDOAH,5070,LEAD,2.35,2014-06-25
7110,STRAWHORN SUBDIVISION,51085,HANOVER,150,LEAD,2.0,2014-06-25
3302,PAGE VALLEY ESTATES,51139,PAGE,126,LEAD,0.0,2014-06-25
3814,"WOODSTOCK, TOWN OF",51171,SHENANDOAH,5070,LEAD,0.0,2014-06-25
3303,PAGE VALLEY ESTATES,51139,PAGE,126,LEAD,0.0,2014-06-25
3820,"WOODSTOCK, TOWN OF",51171,SHENANDOAH,5070,LEAD,3.57,2014-06-25
3304,PAGE VALLEY ESTATES,51139,PAGE,126,LEAD,0.0,2014-06-25
12781,PWCSA - EAST,51153,PRINCE WILLIAM,153000,LEAD,11.0,2014-06-26
12784,PWCSA - EAST,51153,PRINCE WILLIAM,153000,LEAD,0.0,2014-06-26
12783,PWCSA - EAST,51153,PRINCE WILLIAM,153000,LEAD,0.0,2014-06-26
12785,PWCSA - EAST,51153,PRINCE WILLIAM,153000,LEAD,0.0,2014-06-26
12786,PWCSA - EAST,51153,PRINCE WILLIAM,153000,LEAD,0.0,2014-06-26
12787,PWCSA - EAST,51153,PRINCE WILLIAM,153000,LEAD,0.0,2014-06-26
12788,PWCSA - EAST,51153,PRINCE WILLIAM,153000,LEAD,0.0,2014-06-26
12789,PWCSA - EAST,51153,PRINCE WILLIAM,153000,LEAD,0.0,2014-06-26
12790,PWCSA - EAST,51153,PRINCE WILLIAM,153000,LEAD,0.0,2014-06-26
12782,PWCSA - EAST,51153,PRINCE WILLIAM,153000,LEAD,0.0,2014-06-26
12780,PWCSA - EAST,51153,PRINCE WILLIAM,153000,LEAD,37.0,2014-06-26
1823,WISE COUNTY REGIONAL WATER SYSTEM,51195,WISE,11500,LEAD,0.28,2014-06-26
12791,PWCSA - EAST,51153,PRINCE WILLIAM,153000,LEAD,0.0,2014-06-26
1824,WISE COUNTY REGIONAL WATER SYSTEM,51195,WISE,11500,LEAD,0.358,2014-06-26
9089,LAKESIDE VILLAGE,51049,CUMBERLAND,220,LEAD,0.8,2014-06-26
9088,LAKESIDE VILLAGE,51049,CUMBERLAND,220,LEAD,35.2,2014-06-26
3091,RODES FARM,51125,NELSON,40,LEAD,4.7,2014-06-26
3092,RODES FARM,51125,NELSON,40,LEAD,0.0,2014-06-26
3093,RODES FARM,51125,NELSON,40,LEAD,0.0,2014-06-26
3094,RODES FARM,51125,NELSON,40,LEAD,0.0,2014-06-26
3095,RODES FARM,51125,NELSON,40,LEAD,2.69,2014-06-26
7812,GLEBE POINT,51133,NORTHUMBERLAND,111,LEAD,0.7,2014-06-26
9350,ROYAL ESTATES,51067,FRANKLIN COUNTY,55,LEAD,1.2,2014-06-26
12792,PWCSA - EAST,51153,PRINCE WILLIAM,153000,LEAD,0.0,2014-06-26
10767,CLEVENGERS VILLAGE,51047,CULPEPER,855,LEAD,0.0,2014-06-27
10765,CLEVENGERS VILLAGE,51047,CULPEPER,855,LEAD,0.0,2014-06-27
10766,CLEVENGERS VILLAGE,51047,CULPEPER,855,LEAD,0.0,2014-06-27
9889,TANGLEWOOD SECTION A,51117,MECKLENBURG,35,LEAD,5.0,2014-06-27
2869,"MIDDLETOWN, TOWN OF",51069,FREDERICK,1390,LEAD,0.0,2014-06-27
7811,GLEBE POINT,51133,NORTHUMBERLAND,111,LEAD,1.1,2014-06-27
12779,PWCSA - EAST,51153,PRINCE WILLIAM,153000,LEAD,0.0,2014-06-27
9890,TANGLEWOOD SECTION A,51117,MECKLENBURG,35,LEAD,20.3,2014-06-27
1822,WISE COUNTY REGIONAL WATER SYSTEM,51195,WISE,11500,LEAD,1.65,2014-06-29
3702,STONEY CREEK SANITARY DISTRICT,51171,SHENANDOAH,2450,LEAD,5.2,2014-06-29
12241,ELYSIAN HEIGHTS,51107,LOUDOUN,1061,LEAD,0.0,2014-06-30
12777,PWCSA - EAST,51153,PRINCE WILLIAM,153000,LEAD,0.0,2014-06-30
12776,PWCSA - EAST,51153,PRINCE WILLIAM,153000,LEAD,0.0,2014-06-30
12775,PWCSA - EAST,51153,PRINCE WILLIAM,153000,LEAD,0.0,2014-06-30
12774,PWCSA - EAST,51153,PRINCE WILLIAM,153000,LEAD,0.0,2014-06-30
12778,PWCSA - EAST,51153,PRINCE WILLIAM,153000,LEAD,0.0,2014-06-30
12773,PWCSA - EAST,51153,PRINCE WILLIAM,153000,LEAD,0.0,2014-06-30
7077,RAINIER ESTATES,51085,HANOVER,54,LEAD,1.6,2014-07-01
6987,CHERRYDALE SUBDIVISION,51085,HANOVER,782,LEAD,0.9,2014-07-01
6990,CHERRYDALE SUBDIVISION,51085,HANOVER,782,LEAD,2.5,2014-07-01
1820,WISE COUNTY REGIONAL WATER SYSTEM,51195,WISE,11500,LEAD,0.377,2014-07-01
5367,SOUTHAMPTON MEADOWS,51175,SOUTHAMPTON,500,LEAD,0.0,2014-07-01
1821,WISE COUNTY REGIONAL WATER SYSTEM,51195,WISE,11500,LEAD,0.389,2014-07-01
6985,CHERRYDALE SUBDIVISION,51085,HANOVER,782,LEAD,0.5,2014-07-01
5362,SOUTHAMPTON MEADOWS,51175,SOUTHAMPTON,500,LEAD,0.0,2014-07-01
6988,CHERRYDALE SUBDIVISION,51085,HANOVER,782,LEAD,0.0,2014-07-01
5363,SOUTHAMPTON MEADOWS,51175,SOUTHAMPTON,500,LEAD,0.0,2014-07-01
5358,SOUTHAMPTON MEADOWS,51175,SOUTHAMPTON,500,LEAD,0.0,2014-07-01
5360,SOUTHAMPTON MEADOWS,51175,SOUTHAMPTON,500,LEAD,0.0,2014-07-01
12766,PWCSA - EAST,51153,PRINCE WILLIAM,153000,LEAD,0.0,2014-07-02
6982,CHERRYDALE SUBDIVISION,51085,HANOVER,782,LEAD,0.6,2014-07-02
7074,RAINIER ESTATES,51085,HANOVER,54,LEAD,0.5,2014-07-02
12769,PWCSA - EAST,51153,PRINCE WILLIAM,153000,LEAD,0.0,2014-07-02
12768,PWCSA - EAST,51153,PRINCE WILLIAM,153000,LEAD,0.0,2014-07-02
6983,CHERRYDALE SUBDIVISION,51085,HANOVER,782,LEAD,0.3,2014-07-02
12763,PWCSA - EAST,51153,PRINCE WILLIAM,153000,LEAD,0.0,2014-07-02
12767,PWCSA - EAST,51153,PRINCE WILLIAM,153000,LEAD,0.0,2014-07-02
12239,ELYSIAN HEIGHTS,51107,LOUDOUN,1061,LEAD,0.0,2014-07-02
12770,PWCSA - EAST,51153,PRINCE WILLIAM,153000,LEAD,0.0,2014-07-02
12760,PWCSA - EAST,51153,PRINCE WILLIAM,153000,LEAD,0.0,2014-07-03
7610,"URBANNA  HARBOUR, LC",51119,MIDDLESEX,56,LEAD,0.0,2014-07-03
12758,PWCSA - EAST,51153,PRINCE WILLIAM,153000,LEAD,0.0,2014-07-03
7621,TOWN OF URBANNA,51119,MIDDLESEX,800,LEAD,0.0,2014-07-03
12757,PWCSA - EAST,51153,PRINCE WILLIAM,153000,LEAD,13.1,2014-07-03
1819,WISE COUNTY REGIONAL WATER SYSTEM,51195,WISE,11500,LEAD,2.39,2014-07-03
10591,ELSINORE SUBDIVISION,51033,CAROLINE,138,LEAD,0.6,2014-07-04
10590,ELSINORE SUBDIVISION,51033,CAROLINE,138,LEAD,0.6,2014-07-04
3732,MASSANUTTEN VIEW SUBDIVISION,51171,SHENANDOAH,140,LEAD,1.8,2014-07-05
7617,TOWN OF URBANNA,51119,MIDDLESEX,800,LEAD,0.0,2014-07-05
7609,"URBANNA  HARBOUR, LC",51119,MIDDLESEX,56,LEAD,0.0,2014-07-06
3731,MASSANUTTEN VIEW SUBDIVISION,51171,SHENANDOAH,140,LEAD,0.4,2014-07-07
7726,WINDSOR PARK,51127,NEW KENT,90,LEAD,0.4,2014-07-07
7625,BROOKWOOD MANOR,51127,NEW KENT,230,LEAD,1.0,2014-07-07
3766,RYAN SUBDIVISION,51171,SHENANDOAH,93,LEAD,1.3,2014-07-07
4916,MOBILE ESTATES,51095,JAMES CITY,150,LEAD,0.0,2014-07-07
4917,MOBILE ESTATES,51095,JAMES CITY,150,LEAD,0.0,2014-07-07
7616,TOWN OF URBANNA,51119,MIDDLESEX,800,LEAD,2.14,2014-07-07
12756,PWCSA - EAST,51153,PRINCE WILLIAM,153000,LEAD,0.0,2014-07-07
3717,EDINBURG EXTENDED,51171,SHENANDOAH,68,LEAD,0.7,2014-07-07
3714,EDINBURG EXTENDED,51171,SHENANDOAH,68,LEAD,1.8,2014-07-07
12754,PWCSA - EAST,51153,PRINCE WILLIAM,153000,LEAD,0.0,2014-07-07
3764,RYAN SUBDIVISION,51171,SHENANDOAH,93,LEAD,8.3,2014-07-07
2867,"MIDDLETOWN, TOWN OF",51069,FREDERICK,1390,LEAD,0.0,2014-07-07
10588,ELSINORE SUBDIVISION,51033,CAROLINE,138,LEAD,0.2,2014-07-07
3715,EDINBURG EXTENDED,51171,SHENANDOAH,68,LEAD,2.4,2014-07-07
